2025-08-23 13:07:40,111 INFO: Discovered station-like nodes: 0
2025-08-23 13:07:48,660 INFO: Discovered station-like nodes: 0
2025-08-23 13:10:14,251 INFO: Root tag after strip: meteorology
2025-08-23 13:10:14,355 INFO: Generic station-like nodes discovered: 1153
2025-08-23 13:10:14,365 INFO: Station parsed: name=TRIPILOS, lat=34.9893528, lon=32.6817639, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,365 INFO: Station parsed: name=TRIPILOS, lat=None, lon=None, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,365 INFO: Station parsed: name=34.9893528, lat=34.9893528, lon=None, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,365 INFO: Station parsed: name=32.6817639, lat=None, lon=32.6817639, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,365 INFO: Station parsed: name=TROODOS, lat=34.924542, lon=32.881496, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,365 INFO: Station parsed: name=TROODOS, lat=None, lon=None, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,365 INFO: Station parsed: name=34.924542, lat=34.924542, lon=None, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,365 INFO: Station parsed: name=32.881496, lat=None, lon=32.881496, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,365 INFO: Station parsed: name=VISITOR, lat=35.144477, lon=33.403387, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,365 INFO: Station parsed: name=VISITOR, lat=None, lon=None, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,365 INFO: Station parsed: name=35.144477, lat=35.144477, lon=None, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,365 INFO: Station parsed: name=33.403387, lat=None, lon=33.403387, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,365 INFO: Station parsed: name=XYLIATOS, lat=35.0140917, lon=33.0492028, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,365 INFO: Station parsed: name=XYLIATOS, lat=None, lon=None, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,365 INFO: Station parsed: name=35.0140917, lat=35.0140917, lon=None, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,365 INFO: Station parsed: name=33.0492028, lat=None, lon=33.0492028, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,365 INFO: Station parsed: name=XYLOPHAGOU, lat=34.9778111, lon=33.8379889, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,366 INFO: Station parsed: name=XYLOPHAGOU, lat=None, lon=None, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,366 INFO: Station parsed: name=34.9778111, lat=34.9778111, lon=None, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,366 INFO: Station parsed: name=33.8379889, lat=None, lon=33.8379889, temp=None, rh=None, wind_mps=None
